O

H	size	asof
D	419269	1162837710

H	rank	pos	pid	nick	globalscore	playerrank	countrycode	Vet
D	10	10	81260470	coathanger	23267	40	US	1

H	rank	pos	pid	nick	globalscore	playerrank	countrycode	Vet	dt
D	1	1	78333455	bftest11	38441	18	GB	0	0
D	2	2	81278799	Skunk_2142	33402	40	CA	0	0
D	3	3	81242951	WoKeN	30640	40	US	1	0
D	4	4	81209964	KAIN	29844	40	DE	0	0
D	5	5	81243016	serguinho	23939	40	AT	1	0
D	6	6	81286874	Pallares	23853	40	ES	1	0
D	7	7	81285172	line.iq	23301	40	DE	1	0
D	8	8	65896813	S_Jackson	23270	40	GB	1	0
D	9	9	81239550	RA4EVAH	23268	40	NL	0	0
D	10	10	81260470	coathanger	23267	40	US	1	0
D	11	11	81350339	s2n][ksk	22091	39	DE	1	0
D	12	12	81269430	HarveyCamper	21897	36	US	1	0
D	13	13	81167017	syn1cal	21708	36	CA	1	0
D	14	14	81346902	xXx[GER]	20476	35	DE	0	0
D	15	15	81218946	EPoX	20256	40	FR	1	0
D	16	16	81246378	Edge.	20049	39	US	0	0
D	17	17	81285438	Djflexxer	20040	39	CH	1	0
D	18	18	81242447	WarpaQ	19778	39	US	1	0
$	712	$
