O
H	pid	asof
D	1765700	1509835666
H	date	points	globalscore	experiencepoints	awaybonus
D	1509835201	0	0	0	0
D	1509231421	4	2	2	0
D	1509229376	14	7	7	0
D	1508552633	0	0	0	0
D	1507097630	2	1	1	0
D	1507095734	566	32	534	0
D	1503712532	8	4	4	0
D	1503711012	2	1	1	0
D	1501819908	0	0	0	0
D	1501517427	70	25	45	0
D	1499131659	2	1	1	0
D	1499134642	0	0	0	0
D	1499133507	148	49	99	0
D	1498961826	71	18	53	0
D	1498960671	104	42	62	0
D	1498618966	414	147	267	0
D	1498539376	22	11	11	0
D	1498538509	769	69	700	0
D	1474919831	0	0	0	0
D	1495485100	0	0	0	0
$	408	$
